# SMS same-PC same-memory test
# access mode: software prefetch (prfm pldl1keep)
# training lines: 4, 1, 6, 7, 3, 11, 15; trigger line: 4
# expected SMS prefetch lines after trigger: 1, 3, 6, 7, 11, 15

[without_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	    1	   1
 1	expected_prefetch	    0	   0
 2	.                	    0	   0
 3	expected_prefetch	    1	   1
 4	trigger          	  624	 998
 5	.                	    0	   0
 6	expected_prefetch	    3	   4
 7	expected_prefetch	    3	   4
 8	.                	    0	   0
 9	.                	    1	   1
10	.                	    3	   4
11	expected_prefetch	    0	   0
12	.                	    2	   3
13	.                	    1	   1
14	.                	    2	   3
15	expected_prefetch	    0	   0
16	.                	    1	   1
17	.                	    0	   0
18	.                	    0	   0
19	.                	    0	   0
20	.                	    0	   0
21	.                	    0	   0
22	.                	    0	   0
23	.                	    0	   0
24	.                	    0	   0
25	.                	    0	   0
26	.                	    0	   0
27	.                	    0	   0
28	.                	    0	   0
29	.                	    0	   0
30	.                	    0	   0
31	.                	    0	   0
32	.                	    0	   0
33	.                	    0	   0
34	.                	    0	   0
35	.                	    0	   0
36	.                	    0	   0
37	.                	    0	   0
38	.                	    0	   0
39	.                	    0	   0
40	.                	    0	   0
41	.                	    0	   0
42	.                	    0	   0
43	.                	    0	   0
44	.                	    0	   0
45	.                	    0	   0
46	.                	    0	   0
47	.                	    0	   0
48	.                	    0	   0
49	.                	    0	   0
50	.                	    0	   0
51	.                	    0	   0
52	.                	    0	   0
53	.                	    0	   0
54	.                	    0	   0
55	.                	    0	   0
56	.                	    0	   0
57	.                	    0	   0
58	.                	    0	   0
59	.                	    0	   0
60	.                	    0	   0
61	.                	    0	   0
62	.                	    0	   0
63	.                	    0	   0

[with_16_extra_region_accesses]
# rounds=40000 threshold_ns=150
# line	role	hits	per_1000
 0	.                	    0	   0
 1	expected_prefetch	  614	 982
 2	.                	    0	   0
 3	expected_prefetch	  614	 982
 4	trigger          	  620	 992
 5	.                	    0	   0
 6	expected_prefetch	  611	 977
 7	expected_prefetch	  596	 953
 8	.                	    0	   0
 9	.                	    0	   0
10	.                	    0	   0
11	expected_prefetch	  607	 971
12	.                	    0	   0
13	.                	    0	   0
14	.                	    0	   0
15	expected_prefetch	  603	 964
16	.                	    0	   0
17	.                	    0	   0
18	.                	    0	   0
19	.                	    0	   0
20	.                	    0	   0
21	.                	    0	   0
22	.                	    0	   0
23	.                	    0	   0
24	.                	    0	   0
25	.                	    0	   0
26	.                	    0	   0
27	.                	    0	   0
28	.                	    0	   0
29	.                	    0	   0
30	.                	    0	   0
31	.                	    0	   0
32	.                	    0	   0
33	.                	    0	   0
34	.                	    0	   0
35	.                	    0	   0
36	.                	    0	   0
37	.                	    0	   0
38	.                	    0	   0
39	.                	    0	   0
40	.                	    0	   0
41	.                	    0	   0
42	.                	    0	   0
43	.                	    0	   0
44	.                	    0	   0
45	.                	    0	   0
46	.                	    0	   0
47	.                	    0	   0
48	.                	    0	   0
49	.                	    0	   0
50	.                	    0	   0
51	.                	    0	   0
52	.                	    0	   0
53	.                	    0	   0
54	.                	    0	   0
55	.                	    0	   0
56	.                	    0	   0
57	.                	    0	   0
58	.                	    0	   0
59	.                	    0	   0
60	.                	    0	   0
61	.                	    0	   0
62	.                	    0	   0
63	.                	    0	   0
