position	offset_bytes	role	avg_ns	probes
0	0	trained	74	63
1	64	cache_miss	192	63
2	128	cache_miss	199	63
3	192	cache_miss	221	63
4	256	cache_miss	202	63
5	320	trained	73	63
6	384	cache_miss	196	63
7	448	cache_miss	202	63
8	512	cache_miss	225	63
9	576	cache_miss	153	63
10	640	trained	73	63
11	704	cache_miss	210	63
12	768	cache_miss	204	63
13	832	cache_miss	203	63
14	896	cache_miss	207	63
15	960	trigger	108	63
16	1024	cache_miss	196	63
17	1088	cache_miss	194	63
18	1152	cache_miss	201	63
19	1216	cache_miss	209	63
20	1280	predicted	216	63
21	1344	cache_miss	192	63
22	1408	cache_miss	209	63
23	1472	cache_miss	186	63
24	1536	cache_miss	196	63
25	1600	cache_miss	199	63
26	1664	cache_miss	213	63
27	1728	cache_miss	200	63
28	1792	cache_miss	156	63
29	1856	cache_miss	178	63
30	1920	cache_miss	186	63
31	1984	cache_miss	191	63
32	2048	cache_miss	192	62
33	2112	cache_miss	200	62
34	2176	cache_miss	195	62
35	2240	cache_miss	194	62
36	2304	cache_miss	208	62
37	2368	cache_miss	205	62
38	2432	cache_miss	212	62
39	2496	cache_miss	190	62
40	2560	cache_miss	216	62
41	2624	cache_miss	210	62
42	2688	cache_miss	209	62
43	2752	cache_miss	200	62
44	2816	cache_miss	211	62
45	2880	cache_miss	215	62
46	2944	cache_miss	202	62
47	3008	cache_miss	211	62
48	3072	cache_miss	151	62
49	3136	cache_miss	208	62
50	3200	cache_miss	215	62
51	3264	cache_miss	197	62
52	3328	cache_miss	191	62
53	3392	cache_miss	195	62
54	3456	cache_miss	208	62
55	3520	cache_miss	198	62
56	3584	cache_miss	201	62
57	3648	cache_miss	190	62
58	3712	cache_miss	196	62
59	3776	cache_miss	194	62
60	3840	cache_miss	212	62
61	3904	cache_miss	206	62
62	3968	cache_miss	184	62
63	4032	cache_miss	207	62
