position	offset_bytes	role	avg_ns	probes
0	0	trained	181	63
1	64	cache_miss	358	62
2	128	cache_miss	354	62
3	192	cache_miss	353	62
4	256	cache_miss	362	62
5	320	trained	185	63
6	384	cache_miss	360	63
7	448	cache_miss	361	63
8	512	cache_miss	352	63
9	576	cache_miss	356	63
10	640	trigger	178	62
11	704	cache_miss	351	62
12	768	cache_miss	347	62
13	832	cache_miss	348	62
14	896	cache_miss	347	63
15	960	predicted	206	63
16	1024	cache_miss	361	63
17	1088	cache_miss	355	63
18	1152	cache_miss	356	63
19	1216	cache_miss	371	62
20	1280	cache_miss	271	62
21	1344	cache_miss	367	62
22	1408	cache_miss	370	62
23	1472	cache_miss	368	63
24	1536	cache_miss	350	63
25	1600	cache_miss	203	63
26	1664	cache_miss	347	63
27	1728	cache_miss	346	63
28	1792	cache_miss	346	62
29	1856	cache_miss	343	62
30	1920	cache_miss	353	62
31	1984	cache_miss	349	62
32	2048	cache_miss	362	62
33	2112	cache_miss	459	63
34	2176	cache_miss	359	63
35	2240	cache_miss	356	63
36	2304	cache_miss	352	63
37	2368	cache_miss	367	62
38	2432	cache_miss	357	62
39	2496	cache_miss	354	62
40	2560	cache_miss	346	62
41	2624	cache_miss	351	62
42	2688	cache_miss	352	63
43	2752	cache_miss	352	63
44	2816	cache_miss	341	63
45	2880	cache_miss	345	63
46	2944	cache_miss	344	62
47	3008	cache_miss	353	62
48	3072	cache_miss	357	62
49	3136	cache_miss	356	62
50	3200	cache_miss	361	62
51	3264	cache_miss	350	63
52	3328	cache_miss	358	63
53	3392	cache_miss	355	63
54	3456	cache_miss	367	63
55	3520	cache_miss	353	62
56	3584	cache_miss	348	62
57	3648	cache_miss	353	62
58	3712	cache_miss	358	62
59	3776	cache_miss	351	62
60	3840	cache_miss	344	63
61	3904	cache_miss	352	63
62	3968	cache_miss	345	63
63	4032	cache_miss	339	63
